微博发布时间,微博中文内容,情感倾向
02月11日 23:50,好人一定会一生平安,1
01月06日 20:08,糖油糕教程#厨艺教程##美食治愈系##临夏家常小吃#2林芝·米林L马小厨美食录的微博视频?,0
02月11日 23:17,8多通风，勤消毒。,0
02月11日 23:56,//@Tiger公子://@辣条娘:谢谢！帮K//@下辈子再好好过_Anita:谢谢//@王小亚:人民是好样的//@-殷小楼-:哭了，我这就淘宝//@樟脑晓丸子:这种企业就没必要打码了呀好事要宣传的呀//@杭伯琅:从视频可见，是江西金土地集团的“谷韵”牌系列米乳饮品。等疫情过去了，一定捧捧这家公司的场，网购喝喝,1
02月11日 23:16,【5.9】净力士，家用消毒冰箱除味剂5盒吸附效果杠杠的，用不完的可以用自带的自封袋继续封装，非常方便~S：O网页链接?,0
02月12日 23:53,#张流波所有消毒剂对新冠病毒都有效#不是说氯已定没有用嘛，怎么现在又说所有消毒剂都有用。。。。。。。。?,0
02月12日 23:59,//@延安消防:转发微博,0
01月09日 23:58,我又被治愈了//@ssstarriest:天呐//@一个帅桃:太好看了！！！,1
02月14日 23:58,这都什么事呀，戴护目镜，穿防护服，消毒消毒消毒?,0
01月10日 23:51,#解药动画#解药动漫了我真的很开心之前我也吐槽过pv说把我三哥画成了三叔本以为他们会改进一下让画风不那么崩今天抱着试探的心看了一下你确定这是认真么片头曲听的我乖方的然后一拳打过来我更方了我感觉零五年做的动漫都比这个好了吧?展开全文c,1
01月10日 23:59,音乐是治愈心灵的良药，在#亚洲新歌榜#为@时代少年团的K梦游记-时代少年团打榜之后便放弃了治疗！?,1
02月15日 23:10,#战疫打卡行动#我已打卡2天，面对疫情我承诺：多消毒，常通风！活动期间新浪捐助的负压救护车将带着我们的承诺奔赴前线，为疫区带去力量与祝福。一起加入打卡—>O#战疫打卡行动#让每个小坚持都有大意义，武汉加油，中国加油！?,1
02月16日 20:19,#文辉物业对管理区域内的消毒工作#2020年2月16日，文辉物业为加强新型冠状病毒感染的肺炎疫情防控工作，阻断疫情传播，全面采取科学防控措施，提高业主防范意识，加强宣传，更好的保障业主们的生命安全和身体健康！@大美青海@搅沫沫网?,0
02月17日 23:53,0点开抢！！【39】澳洲GLITZ松子香清洁消毒液750ml澳洲进口GLITZ松子香清洁消毒液，清洁二合一，成分温和，可以室内消毒灭菌，适合有老人、小孩或者孕妇的家庭使用?,0
01月11日 17:49,//@恩爹永远是你爹:#陈立农王子装#@微博之夜微博之力，璀璨星夜?可爱少年@陈立农，治愈系温暖笑容，暖冬日柔情歌声期待少年这颗像散发光芒的星球，在永恒的星夜中，一直熠熠闪烁??,1
01月12日 23:41,我知道不能用全部的心#治愈不开心#?,-1
02月17日 23:55,浙普大队绍兴纵队献爱心活动（口罩，消毒液，蛋糕饼干牛奶）圆满结束，加油??2诸暨市?,1
02月18日 23:57,富贵牛逼！//@专业戳轮胎熊律师:热心市民凌先生//@装甲战兔://@午后狂睡:除了医院之外，一线的警员对于消毒用品的需求也非常大。,1
02月18日 23:48,#战疫打卡行动#我已打卡7天，面对疫情我承诺：多消毒，常通风。每天打卡—>O#战疫打卡行动#?，表达战疫态度，让每个小坚持都有大意义！活动期间，新浪每天向疫区捐助1辆负压救护车。有你我的坚持，武汉不孤单！?,1
02月18日 23:57,#现金也需自我隔离14天#你家的现金消毒隔离了吗?,0
02月18日 23:51,//@甜橘气气:#朱一龙益路同行##武汉人朱一龙为同胞加油#司机师傅辛苦了！朱一龙粉丝采购10吨消毒水驰援湖北，太给力了，跟随正能量偶像朱一龙@朱一龙一起为武汉加油。一切都会好起来的！,1
02月18日 23:56,疫情对“菜篮子”价格造成了哪些影响？外出回家衣服要消毒吗？专家权威解答『疫情对“菜篮子”价格造成了哪些影响？外出回家衣服要消毒吗？专家权威解答→』O疫情对“菜篮子”价格造成了哪些影响？外出回家衣服要消毒吗？专家权威解答→?,0
02月18日 23:50,裹挟着84消毒液的彩虹，像极了爱情?,0
01月13日 23:49,//@·Kepler_:太美好了赞赞子//@我陷入热恋:好可爱！！！！//@·吐司边边:我们赞子真的好可爱啊//@叨逼的啤酒:今天又美好了//@55bokii:下班后看一眼实属治愈良剂??,1
01月13日 23:59,孩子咋能笑成这样//@九酿葡萄:猪猪宝！你确实有奇妙魔力！//@55bokii:治愈良剂第二弹！,1
01月01日 14:21,【武汉发现不明原因肺炎追踪：#华南海鲜批发市场休市整治卫生#】2019年12月30日起，武汉市最大的海鲜批发市场华南海鲜批发市场陆续出现不明原因肺炎病人，根据当地卫健委最新披露，7人病情严重，绝大多数患者出自华南海鲜市场。2020年第一天，《每日经济新闻》记者现场采访了解到，海鲜市场从今日起休?展开全文c,0
01月14日 23:54,这个世界有的是让你不快乐的事，拯救自己，才是硬道理。#治愈系#?,1
01月14日 22:55,俗女养成记莫名戳我的泪点，太好哭了。不完美的陈嘉玲，有个可以治愈她的家庭和童年，真羡慕?,1
01月02日 20:52,//@榆林检察:转发微博,0
01月14日 22:01,很治愈,1
01月14日 17:46,我家甜甜的朱一龙@朱一龙,1
01月14日 23:59,我的治愈好物这只精华的提亮修复，爸爸着急把孩子放进安检仪我喜欢！每次熬夜后看着日渐松弛粗现的毛孔和暗沉的肤色都会暗暗立下flag，再也不晚睡！！??可是这么多工作要做，还有那么多的剧没有刷，早睡？好像真的做不到啊。。???最近用了YSL夜皇后精华，妥妥就是熬?,0
01月15日 23:55,老虎再凶猛，毕竟能够看得见摸得着。面对艾滋病，几乎所有人都会闻风而逃，躲得越远越好。之所以会这样，是因为艾滋病是一种危害性极大的传染病，潜伏期长，平均为8～9年，死亡率极高，到目前为止还没有能够治愈的手段。?,0
01月16日 23:52,//@特雷西胡:不开心就看综艺烂剧吐槽，超爽快；需要治愈就看赶海视频//@六层楼先生:这个就当做今晚的#老六夜话#吧，各位晚安！,0
01月19日 23:43,//@我有阿:流完眼泪我要去看甜文治愈一下了。。,-1
01月19日 23:48,声线治愈，演绎曲中真情；剑眉星目，一展青春姿态；谦逊努力，是为追梦赤子！一起相约#直通春晚#《直通之夜》，见证歌手李鑫一@李鑫一Rex梦想绽放的光芒！,1
01月19日 23:43,我哭了！//@一品羡气:好让你明白我心动的痕迹//@我有阿:流完眼泪我要去看甜文治愈一下了。。,0
01月19日 22:26,每个人心中都有一本书，每个人都有别人读不懂的故事，有压力，有烦恼，有情感纠结，关注、『女神手册』，她治愈系的博文可以解开心结，那一站你爱过或者恨过的旅程，那一段你拼命努力却感觉不到希望的日子会离你而去。?,0
01月20日 23:58,#爱豆最具治愈感的笑容#?,1
01月20日 23:35,#O网页链接#冬日里的人间烟火，能治愈一整年的漂泊。?,0
01月20日 23:18,【TED短片《我们为什么会做梦》，告诉你梦的秘密！】人为什么会做梦，这是一个人类探索已久的问题，这个短片介绍了几个有趣的理论，告诉你做梦的重要意义。除了帮助记忆、实现愿望、治愈心灵、保持大脑正常运转外，噩梦也在帮助你！做梦对我们至关重要！今晚好梦??L笑迷糊了的微博视频???,0
01月20日 23:25,希望早点治愈??,1
01月20日 23:54,[小仙女]//@娱叔:#长在笑点上的沈腾#辣个让人一见就想笑，连褶子都带着治愈感的男人又又又来了！距离春晚和春节档越来越近，国人春节必备笑点@沈腾和@云南白药牙膏#修复小蓝管#一起，放出了今年的治愈系先导片！笑口常开要靠啥？@沈腾（超话）交老底儿了！打开视频收下沈叔,1
01月20日 23:52,修复小蓝管里的活性肽会让口气更清新,0
01月21日 23:48,感觉很舒服，有共鸣吧！失眠会听，不开心也会听，真的很治愈O王俊凯首专第二支单曲《醒着》上线，听完你有何感受??,1
01月21日 23:53,//@洛晴晴L:张艺兴经典舞台????《霸王别姬——戏曲高音》《梦不落雨林——绝命八颠勾魂四扭》《BOSS——致敬MJ太空步》《SHEEP——超燃编曲》《外婆——温暖治愈的声音》《晚安——Live能力强》……所有舞台任意挑选??每场都牛逼??废物们快去看张PD唱跳第一的舞台,1
01月21日 23:48,//@我开心比苦恼多://@飘香柚子皮:“如果治愈别人的人需要我们治愈，帮助别人的人需要我们帮助，安慰别人的人需要我们安慰。那我们，就要不吝啬地抱起火光，让这个世界亮起来”,1
01月22日 23:56,//@李永乐老师:现在还没有针对新型肺炎病毒的治疗方法，治疗只是对症治疗，治愈还要依靠自身免疫力。之前我做了这个关于免疫的视频，随后有空再讲讲细菌和病毒,0
01月23日 23:29,华南海鲜市场O[快看]武汉肺炎始发地华南海鲜市场鲜为人知的照片?,0
01月23日 23:40,国家卫健委专家高福表示，病毒不光在感染的人体内看到了，在华南海鲜市场非法销售野生O网页链接?,0
01月24日 01:30,//@不会笑的柴郡猫:？？？？？？//@孑孑孑光://@逻格斯logics:据报道，疫情就是从华南海鲜市场流出的，这些老板不是最应该隔离吗？现在银行转账、支付宝、微信，怎么给钱不好，非得把人家集中起来？一边封城、隔离、停止线下娱乐活动，一边这次地方政府骚操作不断，真的让人看不懂了。,-1
01月24日 23:10,我特么听都没听说过那里有野生动物！//@洁J女士:我也都气哭了，实际上武汉人不喜欢吃野味的，华南海鲜市场的商户也是外地人居多！每次看到那些恶意留言我都觉得委屈？,-1
01月24日 16:19,证据确凿！新冠肺炎病毒来自野生动物！拒绝野味！长沙晚报掌上长沙1月24日讯据央视新闻、人民日报微博消息日前，国家卫健委专家高福在接受采访时表示，病毒不光在感染的人体内看到了，在华南海鲜市场非法销售野生动物的这些摊位上也分离到了病毒。新冠肺炎病毒来自野生动物这应该说是证据?展开全文c,0
01月23日 23:07,"我参与了发起的NCTDREAM罗民njmlzm,我投给了""#罗民治愈笑颜#""这个选项，你也快来表态吧~",1
01月24日 21:30,华南海鲜市场，凭什么你犯下的罪要让全国人民来买单？？？？2海南省·陵水黎族自治县?,-1
01月23日 23:44,但愿，明天，只有治愈，没有新增??,1
01月25日 19:08,2020年一场突如其来的疫情打破了中国人的传统佳节—春节。武汉华南海鲜市场因为有人吃了野生动物而引起的。2003年就是是有人吃了野生动物引发的非典，为什么不长记性呀，也许这就是大自然报复贪心的人类！不敢远走只能，就是从咸阳跑到太平国家森林公园都要查体温。2西安·太平国家森林公园?,-1
01月23日 23:02,我参与了@罗民吧_JAEMINbar发起的【NCTDREAM罗民njmlzm】，我投给了“#罗民治愈笑颜#”这个选项，你也快来表态吧~,0
01月25日 23:24,#武汉加油#最近发生的武汉新型病毒，让今年的过年变得不同！发这个微博，只是恳请大家对武汉同胞多一点理解??????我男朋友是武汉人，我们是毕业后就在沪工作者。今年年前提前请了假回家，想好好回家跟爸妈过个年。各自回家之后过了几天听说了华南海鲜市场的事。今天晚上视频的时候，他?展开全文c,0
01月25日 19:23,气死了//@小彤姐姐Behrad999:最主要的是华南海鲜市场那个老板还不让检查搞垄断经营他最该死//@记得爱老子:看到疫情从刚开始几例到现在蔓延到全国老子真想把那些吃野味的憨批给活埋了,-1
01月25日 21:55,感觉有些恍惚，生命真的太脆弱了。那晚晚饭后照例看新闻联播，看到初次出现感染的华南海鲜市场里的商家毫无防护措施地在镜头前笑着说“我们都觉得没什么的啊”，这一幕仿佛还在昨天。短短几十天，人人自危。有人不以为然，有人拿疾病作商机，有的人抛下家里的孩子父母，去救陌生人的生命。唉。,-1
01月24日 23:53,第30天！今天是除夕！继续猛涨期，疫情还是很严重，好在也有治愈的患者！晚上和宝妈看了春晚，很热闹，心理没那么紧张了！不好的事情请快点过去吧！?,1
01月24日 23:34,#王俊凯腿好长#真唱真是又稳声音又治愈??像王俊凯这种声线真的太绝啦，好温柔啊好好听，祝大家新春快乐，所有人一定要平安！L音音音音音酱的微博视频???,1
01月25日 21:55,反面教材：爸妈不重视疫情我说一万遍戴口罩被嘲笑最多次：外边那么多人都没戴口罩，你就这么怕死？不负责任的没告诉我们他十天前还住在汉口火车站距离华南海鲜市场几百米……早上去检查医生建议隔离去社区和派出所报备！去他大爷的过年礼节走亲访友家人聚会最后都要为自己的愚蠢买单！我们有缘再见！?,-1
01月26日 23:54,我丢//@i糊里糊涂啊啊:想不到吧？武汉森林公安，武汉疾控中心，武汉公安局和这个华南海鲜市场是邻居,0
01月26日 23:51,//@维稳先锋卡菊轮://@战争史研究WHS:华南海鲜市场往西走七分钟，五百米远就是武汉森林公安。多次去检查，都说这市场没毛病。市场老板余甜实力雄厚，至于其背景……这个光有群众议论，没有实锤不好说，反正当地几次扫黑除恶也没动她查看图片,0
01月26日 23:45,#华南海鲜市场存在大量新冠病毒#大家要健康一起看更好的世界?,0
01月25日 23:46,哦扭扭//@Ajargul:怎么可以这么可爱啊啊啊啊啊//@NaFiiii-:,1
01月25日 23:58,9音乐是治愈心灵的良药，在#亚洲新歌榜#为@迪玛希Dimash的K嗨皮一下(电影《急先锋》片尾曲)打榜之后便放弃了治疗！?,1
01月26日 23:52,//@泠依惜:天哪太可爱了我被治愈了//@_kir://@重工组长于彦舒://@全是猫:啾！//@樱花少女:肥啾太可爱了//@利威尔阿克曼头号迷妹:好想摸一下//@奈何-一只袍子:哈哈哈中间那个蓝蓝的是怎么混进来的？//@黑猫凶:都要站中间哈哈哈,1
01月27日 23:52,简单和纯洁的美丽，他对她来说可以作为朋友的原因同样简单。　#欧洲杯#　他#华南海鲜市场存在大量新冠病毒#?,0
01月27日 23:59,#余甜##余甜#华南集团法人旗下华南海鲜市场非法交易野生动物继而引发新型病毒官商勾结官官相护造成今日局面给武汉给人民给社会给国家造成多大的影响政治经济受到多大冲击世界卫生组织总干事来中国视察若把中国定为疫情国请你出来谢罪！！！！！一个劲儿撤热搜你只手遮天了？大家热度顶上?展开全文c,-1
01月26日 23:55,//@别样不二://@笑笑车前子://@Tubereuse___:终于看到我们烟紫色的小裙裙此时太需要姐姐温柔的声音，是治愈一切的良药O网页链接#李宇春你是人间的四月天#,1
01月27日 23:01,#余甜##华南市场老板#闲着也是闲着，复制粘贴送你上热搜！武汉华南海鲜市场大起底。背后的人儿送你出道。你一句我一句甜姐才能进监狱你不说我不说甜姐就会被逃脱（写这个段子的姐妹优秀）（复制来的！！！）（评论要超过十五个字！?）?,0
01月27日 23:40,#抗病毒喷剂##余甜#大家一定要去搜余甜热搜一直被恶意压下去余甜华南集团法人旗下华南海鲜市场非法交易野生动物继而引发新型病毒！把余甜的背景挖出来，这么显眼的地理位置，为什么一直遭受民众举报还能屹立不倒？？？#余甜#（复制）?,-1
01月26日 23:52,看点治愈的…,1
01月27日 23:59,#余甜##余甜#??#余甜##华南市场老板#??#华南海鲜市场存在大量新冠病毒#各位，饭圈女孩现场教学????你发的帖子带话题要空格，像我这样，才能加热度，不然是水贴大家刷起来他必须c位出道，武汉政府真的水害苦了武汉人民也害苦了全国人民必须给我们严惩?展开全文c,-1
01月28日 19:56,一定要严惩这些犯罪分子！都拉出去枪毙了也不为过！//【华南海鲜市场藏大量病毒新京报：责任溯源不可少】O华南海鲜市场藏大量病毒新京报：责任溯源不可少?,0
01月29日 13:14,wow//@Ow喵兔wO:华南海鲜市场12月真的失火过。。。//@Mog-:12.1日，武汉市警方破获一起企图炸毁华南海鲜市场的重大安全隐患事件，逮捕嫌疑犯一名…,0
01月30日 23:59,7.重情之人，是伤痛过后的治愈：[：静默；内心都很恐惧：是人的灵魂归依的时辰！?,0
01月30日 18:00,#民警为防疫主动值班不幸殉职#我希望把华南海鲜市场夷为平地，然后建一个纪念馆，请把这些英雄（警察，医护人员，凡是为这场病毒付出过的人，不管是否活着）都列进去（以上想法有参考过别人发的，但真心忘了那个人是谁…）?,0
01月30日 23:58,大眼哥哥终于发自拍了有被治愈了的赶脚,1
01月31日 21:36,"//@小叉叉xxxx:华南海鲜市场的法人余甜何其背后势力一直被压热搜,背景再大大得过这一条条人命吗！",-1
01月31日 19:36,"【中国青年网】宋栋（化名）夫妇所居住的香江花园小区距离武汉华南海鲜市场只有约1.5公里，小区门口就是武汉华南海鲜市场周边居民:很早就听说新冠病毒“人传人”,过年只吃方便面O网页链接?",0
02月01日 22:50,很不成熟的想问，那些吃野味的是否有一丝忏悔（针对华南海鲜市场而言）?,-1
02月01日 23:53,陆军军医大学,0
02月03日 21:06,ss真的没有心千万句口吐芬芳化为一句想把ss关进华南海鲜市场做个人吧?,-1
02月06日 21:46,#电脑模拟仿真疫情趋势#如果是电脑游戏该有多好，我想做一个改变命运的英雄。在华南海鲜市场存档，感染武汉肺炎后，狂喝双黄连口服液，自驾到北京，直奔医院，历史就改变了。L辣爆视频的微博视频?,0
02月06日 23:39,无语：【李文亮医生因新冠肺炎于6日晚去世】据环球时报，6日晚从多个消息源了解到，武汉市中心医院医生李文亮因新冠病毒感染的肺炎于当日病逝。李文亮此前曾在微信群发布关于华南海鲜市场疫情的信息，之后因“在互联网发布不实言论”被辖区派出所训诫。2月1日上午10时41分，李文亮在自己的微博上公布?展开全文c,-1
02月07日 01:30,#李文亮医生去世##李文亮正在抢救#2月6日晚，最早一批在微信群中发布华南海鲜市场疫情的武汉市中心医院眼科医生李文亮因感染新冠肺炎去世。李文亮曾因“在互联网发布不实信息”被辖区派出所训诫。李文亮医生的最后一条微博停留在2月1日:“今天核酸检测结果阳性，尘埃落定，终于确诊了。?,0
02月08日 23:39,@·满目皆星河,0
02月08日 23:58,??我有时孤独，却还有些抚慰和感动??那些抚慰那些感动因为我爱你??这个结局是我的期待，我会一直为你祝福#华晨宇好想爱这个世界啊#HCY#祝华晨宇0207生日快乐#L华晨宇《与火星的孩子对话》超治愈万人合唱现场??@华晨宇yu@华晨宇onepiece战斗组???,1
02月08日 23:23,来点治愈系[米奇比心]?,1
02月08日 22:31,华晨宇冲鸦音乐是治愈心灵的良药，在#亚洲新歌榜#为@华晨宇yu的K寒鸦少年(Live)打榜之后便放弃了治疗！???,1
02月08日 20:28,//@OhyeahOh:独角兽拥有治愈的能力唯一且只有张艺兴作的歌曲都带有生命力是万物复苏的迹象太治愈了,1
02月10日 03:58,//@耿直的阿拉斯加猪:从这份文件介绍来看，国家卫健委的诊疗标准，并没有把确诊的要求“限死”在华南海鲜市场，而是给出的一个大致的范围。其中第一版中给处的范围是有：a/要么有武汉旅行史，b/要么有武汉相关市场，特别是农贸市场的直接【或者】间接接触史。从字面上看，并没有将范围限死在一个华南市,0
02月09日 23:55,#时间真的能治愈一切吗#等疫情过了，病好了，就会痊愈了吧?,1
02月09日 23:55,#时间真的能治愈一切吗#时间能治愈的只是你自己能放下的事情?,0
02月10日 10:12,武汉市有关部门负责人：华南海鲜城市场是哪个部门允许它存在的？O网页链接?,0
02月11日 18:29,//@局长老油条:据一位优抚医院医生回忆，当时上级疾控部门没有马上来医院进行调研，而是反问他们：“你们没有接触过华南海鲜市场，为什么有这个病？”优抚医院将最初内科医生接诊的三个病例反馈给上级疾控部门，后者既不肯定也不否定。,0
02月11日 14:32,1月24日前，第一财经整理的时间线！哪儿来的天灾啊……呵呵呵呵，骗鬼呢？该继续抗疫继续抗疫，反正我们这类小店主就是听国家的话，紧闭店门，死扛，至于发展只能审时度势，一叶扁舟随波流。但是这并不代表不去深究“到底是谁开启了潘多拉的魔盒？”以致造成眼前这幅局面。“华南海鲜市场”引导大?展开全文c,-1
02月11日 17:27,//@锦年度://@那就这样一直下去吧:已经举报那个黑博了！举报@大夫说官微故意带歪网友黑优抚医院！优抚医院是专为军队受到伤害造成精神疾病退伍的军人，而且离疫情爆发的华南海鲜市场较近，医院收到捐赠口罩和资金很正常，博主故意带歪网友！造谣，抹黑优抚医院！@微博辟谣,0
02月09日 23:58,治愈?,1
02月17日 12:58,您的文章涉嫌造假，武汉病毒研究所和华南海鲜市场的距离绕点路也17公里，您为什么要这么写？还是杨教授说错了，他在那儿那么久了，至于要说慌吗？您...//【专家：武汉病毒所离华南海鲜市场50公里，实验室不可能泄漏病毒】O专家：武汉病毒所离华南海鲜市场50公里，实验室不可能泄漏病毒?,-1
02月11日 23:58,想恰火锅,0
02月10日 23:57,//@罗永浩:,0
02月14日 23:38,被工作压榨一天但确实有被这条回复治愈到?,0
02月15日 23:35,可能是在家待久了，最近整个人都很压抑，脾气说不出来的暴躁，觉得所有事情都不顺利，晚上很早就抱着电脑在床上看1988了，这部剧真的是为数不多舍不得加速的剧，每次看完，都很治愈，每一集都赚足了泪点，看完后，整个人都很顺，大概是我会看无数遍的神仙剧了，嘿嘿，看完后想养一个珍珠和阿泽，太可爱?展开全文c,0
02月15日 23:57,巴适//@二次元娘:舒适~//@樱花少女:好治愈//@塞利格曼的狗·:好幸福的亚子//@京城石原里美:给大家表演一个烤火//@方废青:真的这东西一脸的安逸//@Yuki喵酱喵:好惬意哇,1
02月16日 23:56,日常想养猫//@阿西吧酱酱啾:呜呜嘤嘤这也太可爱了//@可酿可酿-3-:呜呜呜好治愈,1
02月16日 23:40,晚安晚安#肖战#@X玖少年团肖战DAYTOY@UNIQ-王一博等春来看你们的演唱会忍着不发好多天治愈一下?,0
02月17日 23:55,【好消息！全国累计治愈人数已破万~】每天加入#战疫打卡行动#，表达战疫态度，为祖国加油！我已打卡1天，我承诺：宅在家，少出门。活动期间，新浪每天向疫区捐助1辆负压救护车。有你我的坚持，武汉不孤单！加入打卡—>O#战疫打卡行动#?让每个小坚持都有大意义，期待更多好消息！?,1
02月18日 23:51,音乐是治愈心灵的良药，在#亚洲新歌榜#为@华晨宇yu的K斗牛(Live)打榜之后便放弃了治疗！?,1
02月18日 23:46,//@临晚镜99:天呢~腿哥的画真的让人觉得好温暖啊完全治愈~,1
02月18日 23:19,值得[勰]/@YO小釉YO:感觉到自己的心意真的有好好被保护和珍藏农农一家真的好暖心！也特别特别感谢@巧克力姊姊帮我送信～当时完全没想到有朝一日真的可以让被看到，让我哭一会！本来这几天工作上压力山大！瞬间被治愈了！,1
02月18日 22:44,//@千家无名氏:#易烊千玺朋友请听好#易烊千玺声波里的陪伴，电话里的感动，有趣味日常，也有治愈温暖，期待明天中午12:00《朋友请听好》，期待温暖少年@TFBOYS-易烊千玺,1
01月25日 20:33,第一个异乡新年??除夕前一天还忙的没什么感觉满脑子都是Midterm原来想家是回放春晚第一声响起的时候是和家人朋友视频电话挂断的时候是一天的任务结束歇着发呆的时候昨天视频完坐在那深呼吸告诉自己忍住忍住明年就好了可无论在哪儿年味都不会少今天和大家一起忙活虽然都没什么烹饪经验比?展开全文c,0
01月28日 23:11,关于印发新型冠状病毒感染的肺炎诊疗方案（试行第四版）的通知O网页链接?,0
01月29日 12:47,密山市新型冠状病毒感染的肺炎疫情防控工作领导小组关于疫情期间医保政策的通告（第3号）为落实患者救治费用补助政策，按照国家和省医保局关于做好新型冠状病毒感染肺炎疫情医疗保障工作相关要求，对确诊患者发生的医疗费用，在基本医保、大病保险、医疗救助等按规定支付后，个人负担部分由中央和省?展开全文c,0
01月29日 19:45,关于印发新型冠状病毒感染的肺炎诊疗方案（试行第四版）的通知O网页链接?,0
01月29日 19:19,#山西迎战疫情##山西首例新型冠状病毒感染的肺炎患者治愈出院#1月29日，在省级医疗救治专家组的指导和省级定点太原市第四人民医院医护人员的科学精准救治下，山西省首例新型冠状病毒感染的肺炎患者已符合治愈标准，正式出院。　　该患者为男性，23岁，太原市人，1月12日在武汉旅游，1月15日返回太?展开全文c,0
01月29日 13:39,关于印发新型冠状病毒感染的肺炎诊疗方案（试行第四版）的通知O网页链接?,0
01月30日 04:32,【明日报】根据最近发布的国家卫健委印发新型冠状病毒感染的肺炎诊疗方案（试行第四版）推荐：对于新冠病毒国家卫健委第四版诊疗方案公布，多个来源证实这两种药可能有效治疗新冠病毒肺炎O网页链接?,0
01月30日 20:27,独树一帜。汉传中医学派新冠肺炎诊疗方案，供各位同仁参考。O新型冠状病毒肺炎的汉传中医诊疗方案（第一版）?,0
02月02日 23:10,"#个股公告点评#延安必康sz002411在互动平台表示,《新型冠状病毒感染的肺炎诊疗方案(试行第四版)》多次提到的麻黄、杏仁、甘草等基本方药,是全资子公司陕西必康制药重点生产产品,比如麻杏甘石合剂、麻杏止咳糖浆等。抗病毒类药物利巴韦?",0
02月02日 20:57,【贵州：向社会征集民族民间治疗新型冠状病毒感染的肺炎秘方验方和技术方法】2月2日，贵州省中医药管理局发布通告，向社会征集民族民间治疗新型冠状病毒感染的肺炎秘方验方和技术方法。通告指出，按照国家部署要求，各省要在《新型冠状病毒感染的肺炎诊疗方案(试行第四版)》基础上，不断完善诊疗方案?展开全文c,0
02月02日 11:37,#丹东爆料##抗击疫情?辽宁在行动#【丹东公布1名新型冠状病毒感染的肺炎确诊病例情况和行程轨迹】2月1日，根据《新型冠状病毒感染的肺炎诊疗方案（试行第四版）》，经省专家组确认，我市新增1例输入性新型冠状病毒感染的肺炎确诊病例，属普通型病例。截至2月1日22时，丹东市累计报告新型冠状病毒感染的?展开全文c,0
02月04日 19:56,#防疫在现场#【?江西省人社厅回应如何应对返工复工防疫难题？】今天下午，江西省就新型冠状病毒感染的肺炎疫情防控工作举行第四场新闻发布会。江西省人社厅和医保局出台了一系列举措以支持疫情防控工作。医护人员因工作感染的将享受工作保险，并把《新型冠状病毒感染的肺炎诊疗方案》覆盖的药品和医疗?展开全文c,0
02月04日 08:24,《预防新型冠状病毒肺炎的中药药方来了！》1月23日，《湖北省新型冠状病毒感染的肺炎诊疗方案(试行第一版)》发布，其中公布新冠肺炎的中医预防方案。指南包括9部分：冠状病毒病原学特点、此次疫情的临床特点、病例定义、鉴别诊断、病例的发现与报告、治疗、解除隔离和出院标准、转运原则、医?展开全文c,0
02月04日 18:01,真敢说！就不怕耽误别人治疗成千古罪人？！霍香正气治新冠状病毒？#直击抗击新型冠状病毒肺炎疫情#【振东制药产品入选新型冠状病毒诊疗方案】振东制药(300158)在互动平台表示，公司产品防风通圣丸和藿香正气胶囊入选了新型冠状病毒诊疗方案。（全景财经）???2上海?,0
02月05日 22:32,#岩松帮你问#【直播！#白岩松对话王辰院士#】今天，20支国家紧急医学救援队赶赴武汉，11家“方舱医疗区”开建，第5版诊疗方案发布。现在最需要做的，是抓落实！今晚《新闻1+1》，白岩松将连线中国工程院副院长、呼吸与危重症医学专家王辰院士进行解读。转发，关注！央视新闻的微博直播.???,0
02月06日 22:23,【一图读懂#新型冠状病毒感染的肺炎诊疗方案第五版#】,0
02月06日 21:03,一张图看#新型冠状病毒感染的肺炎诊疗方案第五版#。（央视）?,0
02月06日 20:06,新冠肺炎诊疗方案5版发布，你要知道这些！O网页链接O网页链接?,0
02月06日 22:37,//@愿这个世界没有悲伤:炒作无效药物。。。卫健委最近几版诊疗方案已经把阿比多尔撤下，李院士的研究也未进入临床，现在无法确定其有效！苏州官媒能不能谨慎一些，企业出力的精神值得赞扬，可是科学性在哪里？,0
02月12日 20:17,#战胜“疫”情，拥抱春天##共同战疫#打卡第④天流传说法：《新型冠状病毒感染的肺炎诊疗方案（第五版）》提到了益生菌，吃益生菌能够防治新型冠状病毒肺炎。较真鉴定：假谣言查证要点：1.传言源自商家对《新型冠状病毒感染的肺炎诊疗方案（第五版）》中有关肠道微生态调节剂的断章取义和夸大宣?展开全文c,0
02月13日 13:30,【29】【预防感染】中医推荐配方中药材包【抗疫精选，抵抗肺炎】中医推荐配方，可预防新冠状病毒感染的肺炎，泡水代茶喝，多囤点啊【当天发货】一号方，苍术陈皮金银花芦根桑叶黄芪，湖北省新型冠状病毒感染的肺炎诊疗方案（试行第1版）》配方权威发布真实可靠！?,0
02月13日 17:00,//@复兴华夏打倒狗洋奴：拐点到了，非冠诊疗方案第五版中，西医抗病毒基本扔无药可用，新药遥遥无期。中医轻度中度重症全流程方案。广东中医肺炎1号0人转重症，国家推荐清肺排毒汤有效率90%，金银潭医院中医仅一次出院8例，6例重症。1月12日国家卫健委通知要求全国患者第一时间用上中药，中医挑大梁，,0
